Message,Severity,Explanation,Recommended Action
"PKTLOG-1-PROXY_MEM_RET_ERR: ""%s %u %u %u""",1-Alert,IPC failed and could not return memory,Standard Recommended Action
"PKTLOG-3-PKTLOG_IPC_SEND_FAILED: ""%s %s""",3-Error,Transmission of an IPC message by the packet logger failed. ACL and stats lost.,Standard Recommended Action
"PKTLOG-4-PKTLOG_IPC_ALLOC_FAILED: ""%s""",4-Warning,Allocation of an IPC packet buffer by the packet logger failed.,Standard Recommended Action
"PKTLOG-4-PROXY_INVALID_USER_IDX: ""%u %u""",4-Warning,IPC message contained invalid user index for client id.,Standard Recommended Action
"PKTLOG-4-PROXY_IPC_INVALID_MSG_LEN: ""%d:%d len %d flags 0x%x source %d""",4-Warning,Invalid IPC message length.,Standard Recommended Action
"PMALLOC-0-ALLOC_POOL_FAILED: ""Out of memory! Unable to allocate a chunk for pool %ld!.""",0-Emergency,Out of memory! Unable to allocate a chunk for a pool!.,Standard Recommended Action
"PMALLOC-0-ALLOC_POOL_FAILED: ""Out of memory! Unable to allocate a chunk for pool %ld!.""",0-Emergency,Out of memory! Unable to allocate a chunk for a pool!.,Standard Recommended Action
"PMALLOC-0-INVALID_POOL_INFO: ""Invalid poolinfo. Last entry in the poolinfo must be zero..""",0-Emergency,Invalid poolinfo. Last entry in the poolinfo must be zero..,Standard Recommended Action
"PMALLOC-0-INVALID_POOL_INFO: ""Invalid poolinfo. Last entry in the poolinfo must be zero..""",0-Emergency,Invalid poolinfo. Last entry in the poolinfo must be zero..,Standard Recommended Action
"PMALLOC-0-MEM_ALLOC_FAILED: ""Out of memory.Unable to allocate %ld bytes!.""",0-Emergency,Unable to allocate specific number of bytes.,Standard Recommended Action
"PMALLOC-0-MEM_ALLOC_FAILED: ""Unable to allocate %ld bytes",0-Emergency,Unable to allocate specific number of bytes. Please enable memory monitor with 80% as low threshold and 85% as high threshold via command config memory monitor leaks.,Standard Recommended Action
"PMALLOC-0-MEM_THRESHOLD_REACHED: ""Memory threshold reached. Not allocating memory.""",0-Emergency,Memory threshold reached. Not allocating memory.,Standard Recommended Action
"PMALLOC-0-MEM_THRESHOLD_REACHED: ""Memory threshold reached. Not allocating memory.""",0-Emergency,Memory threshold reached. Not allocating memory.,Standard Recommended Action
"PMALLOC-3-FILE_OPEN_FAILED: ""Cannot open file to write memory error log!.""",3-Error,Unable to open pmalloc errorlog file.,Standard Recommended Action
"PMALLOC-3-MEM_MONITOR_ERROR: ""Memory error detected by monitor.""",3-Error,Memory error detected by monitor.,Standard Recommended Action
"PMALLOC-3-MEM_MONITOR_ERROR: ""Memory error detected by monitor.""",3-Error,Memory error detected by monitor.,Standard Recommended Action
"PMALLOC-3-MEM_MONITOR_GET_CFG: ""Error! Cannot get memory monitor config.""",3-Error,Error! Cannot get memory monitor config.,Standard Recommended Action
"PMALLOC-3-MEM_MONITOR_GET_CFG: ""Error! Cannot get memory monitor config.""",3-Error,Error! Cannot get memory monitor config.,Standard Recommended Action
"PMALLOC-3-MEM_MONITOR_LOAD_CFG: ""Error! Cannot load memory monitor config.""",3-Error,Error! Cannot load memory monitor config.,Standard Recommended Action
"PMALLOC-3-MEM_MONITOR_LOAD_CFG: ""Error! Cannot load memory monitor config.""",3-Error,Error! Cannot load memory monitor config.,Standard Recommended Action
"PMALLOC-3-MEM_MONITOR_WRITE_CFG: ""Error! Cannot write memory monitor config.""",3-Error,Error! Cannot write memory monitor config.,Standard Recommended Action
"PMALLOC-3-MEM_MONITOR_WRITE_CFG: ""Error! Cannot write memory monitor config.""",3-Error,Error! Cannot write memory monitor config.,Standard Recommended Action
"PMALLOC-7-MEM_ALLOC_DETAIL: ""Allocating %ld bytes into %ld byte pool.""",7-Debug,The memory allocation details are displayed.,No action is required
"PMALLOC-7-MEM_ALLOC_DETAIL: ""Allocating %ld bytes into %ld byte pool.""",7-Debug,The memory allocation details are displayed.,No action is required
"PMALLOC-7-MEM_ALLOC_RAWPOOL: ""Allocating %d bytes into RAW pool.""",7-Debug,The memory allocation details are displayed.,No action is required
"PMALLOC-7-MEM_ALLOC_RAWPOOL: ""Allocating %zd bytes into RAW pool.""",7-Debug,The memory allocation details are displayed.,No action is required
"PMIPv6-3-INIT_FAILED: ""Failure in starting PMIPv6 Services in WLC. %s.""",3-Error,Failed to add sshpm rules to start PMIPv6 Services.,Disable PMIPv6 and Enable again. If not successful reboot the Controller.
"PMIPv6-3-MAG_INTERFACE_UPDATE_FAILED: ""Failure in updating PMIPv6 Mag Interface. %s.""",3-Error,Failure in updating PMIPv6 Mag Interface.,Standard Recommended Action
"PNP-3-PNP_ERROR: ""PNP encounter error: %s.""",3-Error,PNP encountered error in fetching configuration,Standard Recommended Action
"POE-0-RESET_FAIL: ""Unable to reset the Power Supply for %d times. Will try to reset for another %d times.""",0-Emergency,Failure to reset POE device. Will try to reset again. It is a fatal Error if the POE device cannot be reset after a maximum number of retries.,Standard Recommended Action
"POE-3-PORT_RESYNC: ""poePortResync returned FAILURE. """,3-Error,poePortResync returned FAILURE. Inconsistency in internal data structures ,Standard Recommended Action
"POLICY-6-TRANSPORT_MODE_UPGRADE: ""Switch Transport Mode Upgraded to Layer 3 during Configuration""",6-Information,Config Upgraded from Layer2 to Layer3 Transport Mode Layer 2 no longer supported! Possible Reason: Image upgradation from 4.2.x.x ,No action is required
"POWER-3-FAN_FAIL: ""%s""",3-Error,The specified fan is not functioning properly and has failed,No action is required
"POWER-3-PS_FAIL: ""%s""",3-Error,The specified Power Supply has failed.,No action is required
"POWER-6-FAN_OK: ""%s""",6-Information,The specified fan is functioning normally and is OK.,No action is required
"POWER-6-PS_DETECT: ""%s""",6-Information,Indicates whether the Power Supply is Present or Not.,No action is required
"POWER-6-PS_OK: ""%s""",6-Information,The specified power supply is functioning OK.,No action is required
"PPTP-1-CONFIG_SAVE_ERROR: ""Error on call to osapiFsWrite routine on config file %s.""",1-Alert,PPTP Configuration changes could not be saved.,Please try to reconfigure PPTP parameters and save.  
"PPTP-1-LOCAL_IP_NOT_FOUND: ""unable to determine our own local IP address - pptp will be disabled.""",1-Alert,The system is unable to determine the local IP address - pptp will be disabled.,Standard Recommended Action
"PPTP-1-SOCKET_CONFIG_ERROR: ""unable to configure socket - pptp will be disabled...""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"PPTP-1-SOCKET_CONFIG_RETRIEVE_ERROR: ""unable to retrieve socket configuration - pptp will be disabled...""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"PPTP-1-SOCKET_OPEN_ERROR: ""Unable to open listener socket - pptp will be disabled...""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"PPTP-1-SOCKET_SELECT_ERROR: ""select failed for no apparent reason - pptp will be disabled...""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"PPTP-2-TASK_CREATE_ERROR: ""Failed to create pptp main task..""",2-Critical,The PPTP task has failed to start correctly. ,Standard Recommended Action
"PPTP-2-TASK_INIT_ERROR1: ""Unable to open listener socket.""",2-Critical,The PPTP task has failed to start correctly. ,Standard Recommended Action
"PPTP-2-TASK_INIT_ERROR2: ""Unable to bind listener socket.""",2-Critical,The PPTP task failed to start correctly. ,Standard Recommended Action
"PPTP-2-TASK_INIT_ERROR3: ""Unable to listen on listener socket.""",2-Critical,The PPTP task has failed to start correctly. ,Standard Recommended Action
"PUNT_INJECT-2-CAUSE_CFG_ERR: %s %s initialization failed""",2-Critical,Initialization of Punt/Inject cause failed due to invalid configuration parameters,Standard Recommended Action
"PUNT_INJECT-3-DROP_POLICY_SKIPPED: ""%s cause=%d output drop policy skipped""",3-Error,Output drop policy unexpected skipped on punt packet,Standard Recommended Action
"RBCP-0-MSGQ_CREAT_FAILED: ""Failed to create RBCP osapi Queue.""",0-Emergency,The system has failed to create the RBCP osapi Queue.,Standard Recommended Action
"RBCP-0-PORT_NOT_UP: ""Port 1 not up. Cant plumb Code version.""",0-Emergency,Port 1 not up. The system cannot plumb the code version.,Standard Recommended Action
"RBCP-0-PROD_VER_SET_FAILED: ""Driver api failed for the command %s.Cant plumb Code version.Return Code=%d.""",0-Emergency,The driver api has failed. The system cannot plumb Code version.,Standard Recommended Action
"RBCP-0-RBCP_RECVQ_NULL: ""No RBCP Receive Queue available.Unable to receive RBCP messages""",0-Emergency,No RBCP receive queue is available. The system is unable to receive RBCP messages.,Standard Recommended Action
"RBCP-0-RBCP_REGISTRATION_FAILED: ""RBCP registration failed.Return Code=%d.""",0-Emergency,RBCP registration has failed.,Standard Recommended Action
"RBCP-0-TASK_CREAT_FAILED: ""Failed to create RBCP receive task.""",0-Emergency,The system has failed to create the RBCP receive task.,Standard Recommended Action
"RBCP-3-PDU_TRANSMIT_FAILED: ""Failed to transmit the RBCP register.Return code=%d.""",3-Error,The system has failed to transmit the RBCP register.,Standard Recommended Action
"RBCP-3-RBCP_TX_FAILED: ""Failed to generate a RBCP platform response.Return code=%d.""",3-Error,The system has failed to generate a RBCP platform response.,Standard Recommended Action
RF-3-NOTIF_TMO: Notification timer Expired for RF Client: %s,3-Error,The current RF client has attempted to extend the RF notification timer using a client ID other than its own. This is an internal software error. The message text on the console or in the system log contains the error details such as the current client ID number and the requested client ID number.,Standard Recommended Action
"RF-5-RF_TERMINAL_STATE: ""Terminal state reached for",5-Notice,RF has reached a terminal state for the operating mode.,This is a notification message only. No action is required.
"RFID-3-BAD_RSSI_EXPIRY: ""Illegal rfid expiry value %u-- defaulting.""",3-Error,Illegal rfid expiry value -- defaulting.,Standard Recommended Action
"RFID-3-BAD_RSSI_HALFLIFE: ""Illegal rfid rssi half life value %u-- defaulting.""",3-Error,Illegal rfid rssi half life value -- defaulting.,Standard Recommended Action
"RFID-3-BAD_TIMEOUT: ""Illegal rfid timeout value %u-- defaulting.""",3-Error,Illegal rfid timeout value -- defaulting.,Standard Recommended Action
"RFID-3-BLUESOFT_FAIL: ""Unable to register for bluesoft tag data - error %d """,3-Error,Unable to register for bluesoft tag data ,Standard Recommended Action
"RFID-3-CISCO_FAIL: ""Unable to register for Cisco tag data - error %d """,3-Error,Unable to register for Cisco tag data ,Standard Recommended Action
"RFID-3-CONFIG_WRITE_FAIL: ""Unable to write rfid configuration file.""",3-Error,Unable to write rfid configuration file.,Standard Recommended Action
"RFID-3-CREATE_DB_FAIL: ""Unable to create rfid database """,3-Error,Unable to create rfid database ,Standard Recommended Action
"RFID-3-CREATE_Q_FAIL: ""Unable to create rfid interface """,3-Error,Unable to create rfid internal queue interface ,Standard Recommended Action
"RFID-3-DEL_FAIL: ""Error! Can not delete entry %02x:%02x:%02x:%02x:%02x:%02x from rfid Tree """,3-Error,Error! Can not delete entry from rfid Tree ,Standard Recommended Action
"RFID-3-DUP_ENTRY: ""Duplicate entry %02x:%02x:%02x:%02x:%02x:%02x found on rfid tree.""",3-Error,Duplicate entry found on rfid tree.,Standard Recommended Action
"RFID-3-INVALID_NOTIFICATION_INTERVAL: ""Illegal rfid rssi notification interval value %u-- defaulting.""",3-Error,Illegal rfid rssi notification interval value -- defaulting.,Standard Recommended Action
"RFID-3-NO_CFG_FILE: ""Error retrieving file %s.""",3-Error,Error retrieving file .,Standard Recommended Action
"RFID-3-NO_LOAD_CFG: ""Unable to load rfid configuration """,3-Error,Unable to load rfid configuration ,Standard Recommended Action
"RFID-3-NOTIFICATION_TIMER_NOT_CREATED: ""%s Could not create Rfid-Locp Notification timer...""",3-Error,Could not create Rfid-Locp Notification timer...,Standard Recommended Action
"RFID-3-TCB_FAIL: ""rfid rx task did not receive a task control block --exiting""",3-Error,rfid rx task did not receive a task control block --exiting,Standard Recommended Action
"RFID-3-TIMER_FAIL: ""unable to create rfid task timer """,3-Error,unable to create rfid task timer ,Standard Recommended Action
"RFID-4-MAX_RFID_THRESHOLD_REACHED: ""Number of RFIDs being tracked has reached max warning threshold %d%%",4-Warning,Number of RFIDs being tracked has reached max threshold warning level,No action is required
"RMGR-0-ERROR_TASK_EXITED: ""%s task did not receive a task control block --exiting""",0-Emergency,LOG_EXPL_SYSERR,The RMGR services failed to start correctly.  
"RMGR-0-ERROR_TEST: ""%s $$$$$$$$$ See if we can see this--exiting""",0-Emergency,LOG_EXPL_SYSERR,This is a UT test.  
"RMGR-0-RED_HA_RELOAD: ""System is rebooting",0-Emergency,LOG_EXPL_SYSERR,The RMGR triggers system reboot.  No action is required.
"RMGR-0-RED_XML_TANSFER_SEM_INIT_FAILED: ""red XML transfer sem create failed""",0-Emergency,LOG_EXPL_SYSERR,The RMGR triggers system reboot. No action is required.
"RMGR-0-RSRC_CREATION_FAILED: ""%s critical resource could not be created. System will be rebooted""",0-Emergency,LOG_EXPL_SYSERR,The RMGR critical resource creation failed.  
"RMGR-0-TASK_FAILED_TO_START: ""%s task could not be started. The system will be rebooted""",0-Emergency,LOG_EXPL_SYSERR,The RMGR services failed to start correctly.  
"RMGR-2-IPV6_MODULE_START_ERROR: ""Possible IPv6 Services Error on Standby. Please check loop back ping on standby WLC. ping ::1 management",2-Critical,Native IPv6 Services module has reported error during service start on Standby.IPv6 traffic may not work after the SSO,Try ping ::1 management
RMGR-2-RED_IPC_RELOAD_FROMPEER: MSG_TRACEBACK,2-Critical,"Standby out of sync
",No action is required
"RMGR-2-RED_LIC_MISMATCH: License mismatch between primary and secondary unit. Primary controller seemed to have updated its license count. Pleae reboot this secondary controller for proper functioning.""",2-Critical,There is licensed AP count mismatch between Primary and Secondary unit. Primary controller seemed to have updated its license count.,Pleae reboot this secondary controller for proper functioning 
"RMGR-3-INVALID_PING_RESPONSE: ""Ping response from %u.%u.%u.%u is invalid. %s.""",3-Error,Ping response is invalid.,No action is required
"RMGR-3-INVALID_PING_TYPE: ""Icmp type %u is invalid in rmgr task %s.""",3-Error,Icmp type is invalid.,No action is required
"RMGR-3-PING_OPER_FAILED: ""Unable to start ICMP ping to host %s. %s""",3-Error,Unable to start ICMP ping to host.,Standard Recommended Action
"RMGR-3-RED_API_RET_ERROR: ""The API %s returns error in %s""",3-Error,The API retruns error.,This is a debug message only. No action is required.
"RMGR-3-RED_BAD_FUNC_ARGS: ""%s: The function argument",3-Error,The function argument is bad.,This is a debug message only. No action is required.
"RMGR-3-RED_BAD_PARAMS: ""%s: The parameter",3-Error,The parameters is bad or initialzed yet.,This is a debug message only. No action is required.
"RMGR-3-RED_CORE_UPLOAD_ERROR: Failed to Auto Upload Coredump %s:%d Attempt:%d""",3-Error,The API retruns error.,No action is required
"RMGR-3-RED_FSM_UNUSUAL_CONDITION: ""%s: %s""",3-Error,The FSM important unusual condition,This is a debug message only. No action is required.
"RMGR-3-RED_HA_DEF_GW_UNREACHABLE: ""Management default gateway is not reachable",3-Error,Management default gateway is not reachable,No action is required
"RMGR-3-RED_HA_GW_STATS: ""Default gateway stats: ping loss count %d",3-Error,HA stats for debugging HA Infra Issues,No action is required
"RMGR-3-RED_HA_KA_STATS: ""Keep-alive stats: peer RP KA loss count %d",3-Error,HA stats for debugging HA Infra Issues,No action is required
"RMGR-3-RED_HEALTH_RPT: %s: The bitmap 0x%x reported from %s""",3-Error,The health state report.,This is a debug message only. No action is required.
"RMGR-3-RED_HEARTBEAT_TMOUT: ""%s WLC has lost keep-alives with peer.""",3-Error,The Redundancy heartbeat is timeout.,This is a debug message only. No action is required.
"RMGR-3-RED_INCONSISTENT_VALUES: ""%s: The value 0x%x and 0x%x are not consistent""",3-Error,The values are not consistent.,This is a debug message only. No action is required.
"RMGR-3-RED_ROLE_NOTIF_TMOUT: %s: %s""",3-Error,The role notification is timeout without getting ACK.,This is a debug message only. No action is required.
"RMGR-3-RED_SM_EXECUTION_ERROR: ""The state machine state %d event %d""",3-Error,The state machine error execution.,This is a debug message only. No action is required.
"RMGR-3-RED_SWITCH_CASE_NOT_HANDLED: ""%s: The switch case 0x%x not handled""",3-Error,The switch case not handled.,This is a debug message only. No action is required.
